frame= 7422 fps=123 q=32.0 size=   12469kB time=00:05:09.73 bitrate= 329.8kbits/s dup=1 drop=0 speed=5.13x    
frame= 7512 fps=123 q=32.0 size=   12574kB time=00:05:13.45 bitrate= 328.6kbits/s dup=1 drop=0 speed=5.15x    
frame= 7610 fps=124 q=32.0 size=   12675kB time=00:05:17.54 bitrate= 327.0kbits/s dup=1 drop=0 speed=5.17x    
frame= 7699 fps=124 q=32.0 size=   12774kB time=00:05:21.25 bitrate= 325.7kbits/s dup=1 drop=0 speed=5.19x    
frame= 7788 fps=125 q=32.0 size=   12873kB time=00:05:24.97 bitrate= 324.5kbits/s dup=1 drop=0 speed= 5.2x    
frame= 7880 fps=125 q=32.0 size=   12956kB time=00:05:28.81 bitrate= 322.8kbits/s dup=1 drop=0 speed=5.22x    
frame= 7987 fps=126 q=32.0 size=   13029kB time=00:05:33.29 bitrate= 320.2kbits/s dup=1 drop=0 speed=5.25x    
frame= 8054 fps=126 q=32.0 size=   13121kB time=00:05:36.06 bitrate= 319.8kbits/s dup=1 drop=0 speed=5.25x    
frame= 8135 fps=126 q=32.0 size=   13225kB time=00:05:39.43 bitrate= 319.2kbits/s dup=1 drop=0 speed=5.26x    
frame= 8244 fps=127 q=32.0 size=   13309kB time=00:05:44.00 bitrate= 316.9kbits/s dup=1 drop=0 speed=5.29x    
frame= 8345 fps=127 q=32.0 size=   13388kB time=00:05:48.22 bitrate= 315.0kbits/s dup=1 drop=0 speed=5.32x    
frame= 8394 fps=127 q=32.0 size=   13473kB time=00:05:50.27 bitrate= 315.1kbits/s dup=1 drop=0 speed=5.31x    
frame= 8455 fps=127 q=32.0 size=   13562kB time=00:05:52.79 bitrate= 314.9kbits/s dup=1 drop=0 speed= 5.3x    
frame= 8504 fps=127 q=32.0 size=   13651kB time=00:05:54.83 bitrate= 315.2kbits/s dup=1 drop=0 speed=5.29x    
frame= 8567 fps=127 q=32.0 size=   13737kB time=00:05:57.48 bitrate= 314.8kbits/s dup=1 drop=0 speed=5.29x    
frame= 8639 fps=127 q=32.0 size=   13878kB time=00:06:00.47 bitrate= 315.4kbits/s dup=1 drop=0 speed=5.29x    
frame= 8716 fps=127 q=32.0 size=   13932kB time=00:06:03.71 bitrate= 313.8kbits/s dup=1 drop=0 speed= 5.3x    
frame= 8765 fps=127 q=32.0 size=   14025kB time=00:06:05.71 bitrate= 314.2kbits/s dup=1 drop=0 speed=5.29x    
frame= 8815 fps=127 q=32.0 size=   14098kB time=00:06:07.80 bitrate= 314.0kbits/s dup=1 drop=0 speed=5.29x    
frame= 8899 fps=127 q=32.0 size=   14180kB time=00:06:11.30 bitrate= 312.8kbits/s dup=1 drop=0 speed= 5.3x    
frame= 8989 fps=127 q=32.0 size=   14247kB time=00:06:15.06 bitrate= 311.2kbits/s dup=1 drop=0 speed=5.31x    
frame= 9084 fps=128 q=32.0 size=   14352kB time=00:06:19.03 bitrate= 310.2kbits/s dup=1 drop=0 speed=5.33x    
frame= 9158 fps=128 q=32.0 size=   14405kB time=00:06:22.14 bitrate= 308.8kbits/s dup=1 drop=0 speed=5.34x    
frame= 9217 fps=128 q=32.0 size=   14454kB time=00:06:24.57 bitrate= 307.9kbits/s dup=1 drop=0 speed=5.33x    
frame= 9267 fps=128 q=32.0 size=   14534kB time=00:06:26.66 bitrate= 307.9kbits/s dup=1 drop=0 speed=5.33x    
frame= 9333 fps=128 q=32.0 size=   14610kB time=00:06:29.44 bitrate= 307.3kbits/s dup=1 drop=0 speed=5.33x    
frame= 9385 fps=127 q=32.0 size=   14701kB time=00:06:31.57 bitrate= 307.6kbits/s dup=1 drop=0 speed=5.32x    
frame= 9436 fps=127 q=32.0 size=   14776kB time=00:06:33.70 bitrate= 307.4kbits/s dup=1 drop=0 speed=5.31x    
frame= 9489 fps=127 q=32.0 size=   14878kB time=00:06:35.92 bitrate= 307.8kbits/s dup=1 drop=0 speed= 5.3x    
frame= 9539 fps=127 q=32.0 size=   14963kB time=00:06:38.01 bitrate= 308.0kbits/s dup=1 drop=0 speed= 5.3x    
frame= 9589 fps=127 q=32.0 size=   15089kB time=00:06:40.10 bitrate= 308.9kbits/s dup=1 drop=0 speed=5.29x    
frame= 9671 fps=127 q=32.0 size=   15203kB time=00:06:43.52 bitrate= 308.6kbits/s dup=1 drop=0 speed= 5.3x    
frame= 9741 fps=127 q=32.0 size=   15285kB time=00:06:46.42 bitrate= 308.1kbits/s dup=1 drop=0 speed= 5.3x    
frame= 9813 fps=127 q=32.0 size=   15391kB time=00:06:49.45 bitrate= 307.9kbits/s dup=1 drop=0 speed=5.31x    
frame= 9913 fps=128 q=32.0 size=   15489kB time=00:06:53.63 bitrate= 306.8kbits/s dup=1 drop=0 speed=5.33x    
frame= 9983 fps=128 q=32.0 size=   15594kB time=00:06:56.53 bitrate= 306.7kbits/s dup=1 drop=0 speed=5.33x    
frame=10088 fps=128 q=32.0 size=   15682kB time=00:07:00.92 bitrate= 305.2kbits/s dup=1 drop=0 speed=5.35x    
frame=10163 fps=128 q=32.0 size=   15783kB time=00:07:04.04 bitrate= 304.9kbits/s dup=1 drop=0 speed=5.36x    
frame=10203 fps=128 q=32.0 size=   15878kB time=00:07:05.70 bitrate= 305.5kbits/s dup=1 drop=0 speed=5.34x    
frame=10274 fps=128 q=32.0 size=   15972kB time=00:07:08.65 bitrate= 305.2kbits/s dup=1 drop=0 speed=5.35x    
frame=10354 fps=128 q=32.0 size=   16078kB time=00:07:11.97 bitrate= 304.9kbits/s dup=1 drop=0 speed=5.35x    
frame=10436 fps=129 q=32.0 size=   16191kB time=00:07:15.43 bitrate= 304.6kbits/s dup=1 drop=0 speed=5.36x    
frame=10492 fps=128 q=32.0 size=   16310kB time=00:07:17.73 bitrate= 305.2kbits/s dup=1 drop=0 speed=5.36x    
frame=10563 fps=129 q=32.0 size=   16379kB time=00:07:20.72 bitrate= 304.4kbits/s dup=1 drop=0 speed=5.36x    
frame=10633 fps=129 q=32.0 size=   16501kB time=00:07:23.62 bitrate= 304.7kbits/s dup=1 drop=0 speed=5.36x    
frame=10740 fps=129 q=32.0 size=   16569kB time=00:07:28.06 bitrate= 302.9kbits/s dup=1 drop=0 speed=5.39x    
frame=10832 fps=129 q=32.0 size=   16684kB time=00:07:31.94 bitrate= 302.4kbits/s dup=1 drop=0 speed= 5.4x    
frame=10934 fps=130 q=32.0 size=   16766kB time=00:07:36.17 bitrate= 301.1kbits/s dup=1 drop=0 speed=5.42x    
frame=11015 fps=130 q=32.0 size=   16888kB time=00:07:39.58 bitrate= 301.0kbits/s dup=1 drop=0 speed=5.43x    
frame=11115 fps=130 q=32.0 size=   16970kB time=00:07:43.76 bitrate= 299.8kbits/s dup=1 drop=0 speed=5.44x    
frame=11205 fps=131 q=32.0 size=   17081kB time=00:07:47.47 bitrate= 299.3kbits/s dup=1 drop=0 speed=5.45x    
frame=11309 fps=131 q=32.0 size=   17203kB time=00:07:51.83 bitrate= 298.7kbits/s dup=1 drop=0 speed=5.47x    
frame=11407 fps=132 q=32.0 size=   17289kB time=00:07:55.92 bitrate= 297.6kbits/s dup=1 drop=0 speed=5.49x    
